Company,Price,Buy,Hold,Sell,Consensus,Net
ABC,$4.40,3,6,6,Hold,-9
DEF,$3.67,0,4,0,Hold,-4
ABC,$21.71,2,6,4,Hold,-8
DEF,$26.37,10,2,0,Strong Buy,8
ABC,$7.92,5,6,1,Buy,-2
DEF,$31.71,2,3,0,Buy,-1
ABC,$15.56,7,5,1,Buy,1
DEF,$2.14,1,10,3,Hold,-12
ABC,$25.67,5,6,2,Hold,-3
DEF,$25.80,6,7,2,Hold,-3
ABC,$9.69,1,8,2,Hold,-9
DEF,$7.62,2,4,0,Buy,-2
ABC,$24.23,5,1,0,Strong Buy,4
DEF,$22.56,1,6,1,Hold,-6
ABC,$17.40,2,5,1,Hold,-4
ABC,$1.80,0,10,1,Hold,-11
DEF,$70.76,0,4,10,Strong Sell,-14
ABC,$2.60,7,2,2,Buy,3
DEF,$4.55,2,7,4,Hold,-9
ABC,$5.43,6,0,0,Strong Buy,6
DEF,$9.86,1,4,10,Strong Sell,-13
ABC,$39.89,6,8,4,Hold,-6
DEF,$92.20,1,6,4,Sell,-9
ABC,$17.13,0,6,1,Hold,-7
DEF,$4.70,7,4,1,Buy,2
ABC,$9.43,3,7,6,Hold,-10
DEF,$2.02,5,9,0,Buy,-4
ABC,$17.97,1,5,2,Hold,-6
DEF,$14.84,8,3,0,Strong Buy,5
ABC,$11.79,3,8,1,Hold,-6
ABC,$13.20,9,3,2,Buy,4
DEF,$70.67,5,8,3,Hold,-6
ABC,$8.43,0,9,4,Sell,-13
DEF,$5.31,5,2,2,Buy,1
ABC,$7.75,3,9,2,Hold,-8
DEF,$10.00,4,1,3,Hold,0
ABC,$47.81,1,6,1,Hold,-6
DEF,$1.09,0,2,3,Strong Sell,-5
ABC,$171.17,1,7,8,Sell,-14
DEF,$17.29,4,7,3,Hold,-6
ABC,$4.55,0,5,5,Sell,-10
DEF,$200.54,8,6,1,Buy,1
ABC,$3.53,4,5,4,Hold,-5
DEF,$25.61,6,2,0,Strong Buy,4
ABC,$26.91,8,3,1,Buy,4
ABC,$11.74,3,8,0,Hold,-5
DEF,$2.29,2,5,0,Hold,-3
ABC,$2.83,2,9,2,Hold,-9
DEF,$7.48,3,5,4,Hold,-6
ABC,$44.66,6,4,3,Hold,-1
DEF,$7.68,5,3,2,Hold,0
ABC,$12.43,1,7,3,Hold,-9
DEF,$3.69,3,11,3,Hold,-11
ABC,$13.55,2,3,1,Hold,-2
DEF,$43.94,8,5,2,Buy,1
ABC,$8.00,9,9,5,Hold,-5
DEF,$3.27,8,3,2,Buy,3
ABC,$13.02,5,4,3,Hold,-2
DEF,$9.37,3,4,1,Hold,-2
ABC,$4.10,0,2,4,Strong Sell,-6
ABC,$6.03,0,10,3,Sell,-13
DEF,$2.44,0,7,1,Hold,-8
ABC,$3.89,3,4,5,Hold,-6
DEF,$7.56,4,7,3,Hold,-6
ABC,$14.59,3,3,2,Hold,-2
DEF,$6.38,1,10,1,Hold,-10
ABC,$4.93,9,6,2,Buy,1
DEF,$9.46,8,4,0,Buy,4
ABC,$4.25,0,5,4,Sell,-9
DEF,$6.99,5,2,0,Strong Buy,3
ABC,$3.22,6,6,0,Buy,0
DEF,$13.13,3,4,1,Hold,-2
ABC,$14.77,1,6,2,Hold,-7
DEF,$24.69,6,6,3,Hold,-3
ABC,$18.50,11,0,1,Strong Buy,10
ABC,$12.32,9,1,1,Strong Buy,7
DEF,$7.37,9,0,1,Strong Buy,8
ABC,$38.44,4,7,1,Hold,-4
DEF,$2.74,4,6,3,Hold,-5
ABC,$16.95,5,1,0,Strong Buy,4
DEF,$18.81,3,5,5,Hold,-7
ABC,$2.66,2,4,5,Sell,-7
DEF,$130.83,10,5,0,Buy,5
ABC,$2.62,5,3,4,Hold,-2
DEF,$3.40,1,5,2,Hold,-6
ABC,$24.70,8,7,1,Buy,0
DEF,$24.95,5,6,4,Hold,-5
ABC,$1.70,6,2,0,Strong Buy,4
DEF,$2.81,0,5,0,Hold,-5
ABC,$5.41,4,7,1,Hold,-4
ABC,$8.91,4,10,5,Hold,-11
DEF,$5.02,11,3,0,Strong Buy,8
ABC,$5.75,0,5,0,Hold,-5
